[110/389] transformer.h.17.attn.c_attn.bias (7680,)
[111/389] transformer.h.17.attn.c_attn.weight (2560, 7680)
[112/389] transformer.h.17.attn.c_proj.bias (2560,)
[113/389] transformer.h.17.attn.c_proj.weight (2560, 2560)
[114/389] transformer.h.17.ln_1.bias (2560,)
[115/389] transformer.h.17.ln_1.weight (2560,)
[116/389] transformer.h.17.ln_2.bias (2560,)
[117/389] transformer.h.17.ln_2.weight (2560,)
[118/389] transformer.h.17.mlp.c_fc.bias (10240,)
[119/389] transformer.h.17.mlp.c_fc.weight (2560, 10240)
[120/389] transformer.h.17.mlp.c_proj.bias (2560,)
[121/389] transformer.h.17.mlp.c_proj.weight (10240, 2560)
[122/389] transformer.h.18.attn.c_attn.bias (7680,)
[123/389] transformer.h.18.attn.c_attn.weight (2560, 7680)
[124/389] transformer.h.18.attn.c_proj.bias (2560,)
[125/389] transformer.h.18.attn.c_proj.weight (2560, 2560)
[126/389] transformer.h.18.ln_1.bias (2560,)
[127/389] transformer.h.18.ln_1.weight (2560,)
[128/389] transformer.h.18.ln_2.bias (2560,)
[129/389] transformer.h.18.ln_2.weight (2560,)
[130/389] transformer.h.18.mlp.c_fc.bias (10240,)
[131/389] transformer.h.18.mlp.c_fc.weight (2560, 10240)
[132/389] transformer.h.18.mlp.c_proj.bias (2560,)
[133/389] transformer.h.18.mlp.c_proj.weight (10240, 2560)
[134/389] transformer.h.19.attn.c_attn.bias (7680,)
[135/389] transformer.h.19.attn.c_attn.weight (2560, 7680)
[136/389] transformer.h.19.attn.c_proj.bias (2560,)
[137/389] transformer.h.19.attn.c_proj.weight (2560, 2560)
[138/389] transformer.h.19.ln_1.bias (2560,)
[139/389] transformer.h.19.ln_1.weight (2560,)
[140/389] transformer.h.19.ln_2.bias (2560,)
[141/389] transformer.h.19.ln_2.weight (2560,)
[142/389] transformer.h.19.mlp.c_fc.bias (10240,)
[143/389] transformer.h.19.mlp.c_fc.weight (2560, 10240)
[144/389] transformer.h.19.mlp.c_proj.bias (2560,)
[145/389] transformer.h.19.mlp.c_proj.weight (10240, 2560)
[146/389] transformer.h.2.attn.c_attn.bias (7680,)
[147/389] transformer.h.2.attn.c_attn.weight (2560, 7680)
[148/389] transformer.h.2.attn.c_proj.bias (2560,)
[149/389] transformer.h.2.attn.c_proj.weight (2560, 2560)
[150/389] transformer.h.2.ln_1.bias (2560,)
[151/389] transformer.h.2.ln_1.weight (2560,)
[152/389] transformer.h.2.ln_2.bias (2560,)
[153/389] transformer.h.2.ln_2.weight (2560,)
[154/389] transformer.h.2.mlp.c_fc.bias (10240,)
[155/389] transformer.h.2.mlp.c_fc.weight (2560, 10240)
[156/389] transformer.h.2.mlp.c_proj.bias (2560,)
[157/389] transformer.h.2.mlp.c_proj.weight (10240, 2560)
  wrote model-00001.safetensors (2.04 GiB) 268s
[158/389] transformer.h.20.attn.c_attn.bias (7680,)
[159/389] transformer.h.20.attn.c_attn.weight (2560, 7680)
[160/389] transformer.h.20.attn.c_proj.bias (2560,)
[161/389] transformer.h.20.attn.c_proj.weight (2560, 2560)
[162/389] transformer.h.20.ln_1.bias (2560,)
[163/389] transformer.h.20.ln_1.weight (2560,)
[164/389] transformer.h.20.ln_2.bias (2560,)
[165/389] transformer.h.20.ln_2.weight (2560,)
[166/389] transformer.h.20.mlp.c_fc.bias (10240,)
[167/389] transformer.h.20.mlp.c_fc.weight (2560, 10240)
[168/389] transformer.h.20.mlp.c_proj.bias (2560,)
[169/389] transformer.h.20.mlp.c_proj.weight (10240, 2560)
[170/389] transformer.h.21.attn.c_attn.bias (7680,)
[171/389] transformer.h.21.attn.c_attn.weight (2560, 7680)
[172/389] transformer.h.21.attn.c_proj.bias (2560,)
[173/389] transformer.h.21.attn.c_proj.weight (2560, 2560)
[174/389] transformer.h.21.ln_1.bias (2560,)
[175/389] transformer.h.21.ln_1.weight (2560,)
[176/389] transformer.h.21.ln_2.bias (2560,)
[177/389] transformer.h.21.ln_2.weight (2560,)
[178/389] transformer.h.21.mlp.c_fc.bias (10240,)
[179/389] transformer.h.21.mlp.c_fc.weight (2560, 10240)
[180/389] transformer.h.21.mlp.c_proj.bias (2560,)
[181/389] transformer.h.21.mlp.c_proj.weight (10240, 2560)
[182/389] transformer.h.22.attn.c_attn.bias (7680,)
[183/389] transformer.h.22.attn.c_attn.weight (2560, 7680)
[184/389] transformer.h.22.attn.c_proj.bias (2560,)
[185/389] transformer.h.22.attn.c_proj.weight (2560, 2560)
[186/389] transformer.h.22.ln_1.bias (2560,)
[187/389] transformer.h.22.ln_1.weight (2560,)
[188/389] transformer.h.22.ln_2.bias (2560,)
[189/389] transformer.h.22.ln_2.weight (2560,)
[190/389] transformer.h.22.mlp.c_fc.bias (10240,)
[191/389] transformer.h.22.mlp.c_fc.weight (2560, 10240)
[192/389] transformer.h.22.mlp.c_proj.bias (2560,)
[193/389] transformer.h.22.mlp.c_proj.weight (10240, 2560)
[194/389] transformer.h.23.attn.c_attn.bias (7680,)
[195/389] transformer.h.23.attn.c_attn.weight (2560, 7680)
[196/389] transformer.h.23.attn.c_proj.bias (2560,)
[197/389] transformer.h.23.attn.c_proj.weight (2560, 2560)
[198/389] transformer.h.23.ln_1.bias (2560,)
[199/389] transformer.h.23.ln_1.weight (2560,)
[200/389] transformer.h.23.ln_2.bias (2560,)
[201/389] transformer.h.23.ln_2.weight (2560,)
[202/389] transformer.h.23.mlp.c_fc.bias (10240,)
